matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
16,1-fc-union-berlin,sc-freiburg,2.47,3.3,2.98,0,0,2.0,1.0,2.0,1.0,2,1,2,1,0,0
19,1-fc-union-berlin,1899-hoffenheim,2.85,3.49,2.45,2,1,1.0,2.0,1.0,2.0,1,1,2,1,2,1
22,1-fc-union-berlin,borussia-dortmund,3.9,3.9,1.88,0,3,1.0,2.0,1.0,2.0,1,2,1,3,0,3
24,1-fc-union-berlin,1-fsv-mainz-05,2.66,3.22,2.81,3,1,2.0,1.0,1.0,1.0,1,1,2,1,3,1
26,1-fc-union-berlin,vfb-stuttgart,2.12,3.48,3.54,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
28,1-fc-union-berlin,1-fc-koeln,2.33,3.25,3.32,1,0,2.0,1.0,2.0,1.0,2,1,2,1,1,0
30,1-fc-union-berlin,eintracht-frankfurt,2.16,3.42,3.46,2,0,2.0,1.0,2.0,1.0,2,1,2,1,2,0
32,1-fc-union-berlin,spvgg-greuther-fuerth,1.27,5.71,13.47,1,1,2.0,1.0,4.0,1.0,3,1,3,1,1,1
34,1-fc-union-berlin,vfl-bochum,1.41,5.13,7.32,3,2,2.0,1.0,3.0,1.0,3,1,3,1,3,2
1,1-fsv-mainz-05,rb-leipzig,8.07,5.44,1.35,1,0,1.0,2.0,1.0,3.0,1,3,1,3,1,0
3,1-fsv-mainz-05,spvgg-greuther-fuerth,1.71,3.97,4.9,3,0,2.0,1.0,2.0,1.0,2,1,2,1,3,0
5,1-fsv-mainz-05,sc-freiburg,2.07,3.58,3.53,0,0,2.0,1.0,2.0,1.0,2,1,3,1,0,0
7,1-fsv-mainz-05,1-fc-union-berlin,2.09,3.35,3.71,1,2,2.0,1.0,2.0,1.0,2,1,3,1,1,2
9,1-fsv-mainz-05,fc-augsburg,1.66,3.79,5.64,4,1,2.0,1.0,2.0,1.0,3,1,3,1,4,1
11,1-fsv-mainz-05,borussia-moenchengladbach,2.68,3.52,2.59,1,1,1.0,2.0,1.0,1.0,1,2,3,1,1,1
12,1-fsv-mainz-05,1-fc-koeln,2.14,3.56,3.36,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
14,1-fsv-mainz-05,vfl-wolfsburg,2.53,3.27,2.92,3,0,2.0,1.0,2.0,1.0,2,1,2,1,3,0
16,1-fsv-mainz-05,hertha-bsc,1.95,3.52,4.12,4,0,2.0,1.0,2.0,1.0,2,1,3,1,4,0
19,1-fsv-mainz-05,vfl-bochum,1.69,3.71,5.46,1,0,2.0,1.0,2.0,1.0,3,1,3,1,1,0
21,1-fsv-mainz-05,1899-hoffenheim,2.66,3.41,2.69,2,0,2.0,1.0,1.0,1.0,1,1,2,1,2,0
23,1-fsv-mainz-05,bayer-leverkusen,3.25,3.66,2.19,3,2,1.0,2.0,1.0,2.0,1,1,1,3,3,2
25,1-fsv-mainz-05,borussia-dortmund,4.06,3.84,1.87,0,1,1.0,2.0,1.0,2.0,1,2,1,3,0,1
27,1-fsv-mainz-05,arminia-bielefeld,1.64,3.76,6.08,4,0,2.0,1.0,3.0,1.0,3,1,3,1,4,0
30,1-fsv-mainz-05,vfb-stuttgart,2.01,3.56,3.78,0,0,2.0,1.0,2.0,1.0,2,1,3,1,0,0
32,1-fsv-mainz-05,fc-bayern-muenchen,5.58,4.79,1.53,3,1,1.0,2.0,1.0,3.0,1,3,1,3,3,1
34,1-fsv-mainz-05,eintracht-frankfurt,1.69,4.41,4.5,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
2,1899-hoffenheim,1-fc-union-berlin,2.06,3.58,3.58,2,2,2.0,1.0,2.0,1.0,2,1,2,1,2,2
4,1899-hoffenheim,1-fsv-mainz-05,2.03,3.8,3.46,0,2,2.0,1.0,2.0,1.0,2,1,3,1,0,2
